Route 1:
(38.91364291534956,-76.9822096824646)
(38.91701544283944,-76.9782829284668)
(38.91724917642968,-76.97721004486084)
(38.917332652525324,-76.96843385696411)
(38.91681509914936,-76.95901393890381)
(38.917182395482456,-76.95714712142944)
(38.91913571222404,-76.95285558700562)
(38.91931935462259,-76.95128917694092)
(38.918568087260105,-76.94641828536987)
(38.91800045775558,-76.94178342819214)
(38.918601477089545,-76.93794250488281)
(38.919169101786395,-76.93455219268799)
(38.91843452778517,-76.93390846252441)
(38.91761647051608,-76.93384408950806)
(38.91726587165668,-76.93285703659058)
(38.916214064685526,-76.93255662918091)
(38.913475954379756,-76.93309307098389)
(38.91100488610439,-76.93519592285156)
(38.90733151751686,-76.93858623504639)
(38.90440938403236,-76.94137573242188)
(38.89702837422175,-76.95049524307251)
(38.89270294635078,-76.955087184906)
(38.89011424382528,-76.95798397064209)
(38.88867789076078,-76.96083784103394)
(38.88727491321753,-76.9622540473938)
(38.884402063222225,-76.96328401565552)
(38.880443352851955,-76.96480751037598)
(38.87695215520965,-76.96804761886597)
(38.8758162261729,-76.97045087814331)
(38.875131319009185,-76.97502136230469)
(38.87392853923629,-76.97798252105713)
(38.87160644848357,-76.98274612426758)
(38.87011960233654,-76.98693037033081)
(38.86893344434428,-76.98965549468994)
(38.86721264474896,-76.99115753173828)
(38.86539155903596,-76.99231624603271)
(38.86435569130353,-76.99398994445801)
(38.86435569130353,-76.99398994445801)
(38.862701613150506,-76.99974060058594)
(38.862768445337,-77.00055599212646)
(38.86295223352599,-77.00113534927368)
(38.86340334797568,-77.0011568069458)
(38.863520303106554,-77.00051307678223)
(38.86291881752694,-76.99918270111084)
(38.86109762182888,-76.99489116668701)
(38.8598778958764,-76.99392557144165)
(38.857956367345956,-76.9936466217041)
(38.85626872120276,-76.99371099472046)
(38.854347095150324,-76.99313163757324)
(38.85319409459706,-76.99122190475464)
(38.85269278417874,-76.98564291000366)
(38.85394605359963,-76.98143720626831)
(38.85409644444614,-76.97740316390991)
(38.85327764598995,-76.97502136230469)
(38.849601291857084,-76.97064399719238)
(38.8489328434187,-76.96557998657227)
(38.85006920202661,-76.96111679077148)
(38.85187396956363,-76.95802688598633)
(38.851656731450944,-76.95723295211792)
(38.85140607126576,-76.95654630661011)
(38.85153140146877,-76.95568799972534)
(38.85158988882127,-76.95550560951233)
(38.852676073770596,-76.95621371269226)
(38.85297686051628,-76.95595622062683)
(38.8530854776396,-76.954904794693)
(38.85298521568549,-76.95425033569336)
(38.85271784978358,-76.95436835289001)
(38.85246719333776,-76.9547438621521)
(38.85198258837114,-76.95814490318298)
(38.851030079331764,-76.96017265319824)
(38.85021960107031,-76.96173906326294)
(38.84965978079661,-76.96314454078674)
(38.84909995611718,-76.96622371673584)
(38.84952609172135,-76.96956038475037)
(38.84971826968801,-76.97054743766785)
(38.85072092891939,-76.97185635566711)
(38.85313560856365,-76.97471022605896)
(38.85381237258021,-76.9762122631073)
(38.85428025504891,-76.97797179222107)
(38.85425518999469,-76.98006391525269)
(38.85408808940743,-76.98116898536682)
(38.8530854776396,-76.98485970497131)
(38.85283482248934,-76.98585748672485)
(38.85303534668022,-76.98823928833008)
(38.85336955240875,-76.99127554893494)
(38.854104799483835,-76.99245572090149)
(38.856051496512784,-76.99356079101562)
(38.8567115233237,-76.99361443519592)
(38.85798143109577,-76.99351787567139)
(38.858800175399054,-76.99358224868774)
(38.86011181754357,-76.99381828308105)
(38.86084699491637,-76.99449419975281)
(38.86143178967141,-76.99536323547363)
(38.86238415940674,-76.9976806640625)
(38.86276009131713,-76.99671506881714)
(38.864121783597795,-76.99377536773682)
(38.86516600847635,-76.9923484325409)
(38.86825682422995,-76.9896125793457)
(38.86996089220288,-76.98649048805237)
(38.870787851643776,-76.98444128036499)
(38.87250856469371,-76.9806969165802)
(38.874989325234544,-76.9750964641571)
(38.87535683795047,-76.97287559509277)
(38.875799521198644,-76.97015047073364)
(38.87743659001143,-76.96723222732544)
(38.87979189836618,-76.96521520614624)
(38.88269834149102,-76.96379899978638)
(38.88710789023579,-76.96206092834473)
(38.889847017547254,-76.95781230926514)
(38.89276975032845,-76.9548511505127)
(38.89557546065178,-76.9517183303833)
(38.904025323260214,-76.9412899017334)
(38.90860052088408,-76.9369125366211)
(38.91481163114068,-76.93206310272217)
(38.91708222394378,-76.93214893341064)
(38.91778342174507,-76.93013191223145)
(38.9180505428945,-76.92978858947754)
(38.91848461261774,-76.93026065826416)
(38.91982019511209,-76.93592548370361)
(38.91885190030965,-76.9387149810791)
(38.918250883096704,-76.94180488586426)
(38.9196198593405,-76.95111751556396)
(38.91865156180428,-76.9548511505127)
(38.9174495188943,-76.95734024047852)
(38.91728256687971,-76.96497917175293)
(38.9176498607933,-76.97171688079834)
(38.91741612852281,-76.97854042053223)
(38.91721578596392,-76.97914123535156)
Route 2:
(38.86240086753384,-76.9982385635376)
(38.86217530748656,-76.99822783470154)
(38.86135660204378,-77.0002555847168)
(38.86046269860145,-77.00265884399414)
(38.86068826408153,-77.00350642204285)
(38.859226252888845,-77.00433254241943)
(38.85729635208829,-77.00506210327148)
(38.85481497410144,-77.00582385063171)
(38.853294356256754,-77.00634956359863)
(38.85174028464971,-77.00739026069641)
(38.85053710911831,-77.00813055038452)
(38.848373013018474,-77.00817346572876)
(38.846142003334045,-77.00828075408936)
(38.84356831724291,-77.00854897499084)
(38.840133805407525,-77.00902104377747)
(38.83907249936703,-77.00942873954773)
(38.837701970511546,-77.01030850410461)
(38.8363815579919,-77.01105952262878)
